original_name	bonus	origin
Îles Marshall	-3	en:marshall-islands
Îles Pitcairn	0	en:pitcairn
Îles Salomon	-3	en:solomon-islands
Îles Turques et Caïques	0	en:turks-and-caicos-islands
Îles Vierges britanniques	0	en:british-virgin-islands
Inde	-3	en:india
Indonésie	-3	en:indonesia
Irak	-3	en:iraq
Iran	-3	en:iran
Irlande	1	en:ireland
Islande	1	en:iceland
Israël	0	en:israel
Italie	1	en:italy
Jamaïque	-3	en:jamaica
Japon	1	en:japan
Jersey	0	en:jersey
Jordanie	-2	en:jordan
Kazakhstan	-3	en:kazakhstan
Kenya	-3	en:kenya
Kirghizistan	-3	en:kyrgyzstan
Kiribati	-3	en:kiribati
Kosovo	0	en:kosovo
Koweït	-2	en:kuwait
L'île Bouvet	0	en:bouvet-island
L'île Christmas	0	en:christmas-island
L'île de Man	0	en:isle-of-man
L'île de Norfolk	0	n:norfolk-island
La Guyane française	0	en:french-guiana
Laos	-3	en:laos
Le Salvador	-3	en:el-salvador
Lesotho	-3	en:lesotho
Lettonie	-1	en:latvia
Liban	-3	en:lebanon
Liberia	-3	en:liberia
Libye	0	en:libya
Liechtenstein	0	en:liechtenstein
Lituanie	-1	en:lithuania
Luxembourg	2	en:luxembourg
Macao	0	en:macau
Macédoine [FYROM]	0	en:north-macedonia
Madagascar	-3	en:madagascar
Malaisie	-3	en:malaysia
Malawi	-3	en:malawi
Maldives	-3	en:maldives
Mali	-3	en:mali
Malte	1	en:malta
Maroc	-3	en:morocco
Martinique	0	en:martinique
Maurice	-3	en:mauritius
Mauritanie	-3	en:mauritania
Mayotte	0	en:mayotte
Mexique	-2	en:mexico
Micronésie	-3	en:federated-states-of-micronesia
Moldavie	-3	en:moldova
Monaco	0	en:monaco
Monde	-3	en:world
Mongolie	-3	en:mongolia
Monténégro	-3	en:montenegro
Montserrat	0	en:montserrat
Mozambique	-3	en:mozambique
Myanmar [Birmanie]	0	en:myanmar
Namibie	-3	en:namibia
Nauru	0	en:nauru
Népal	-3	en:nepal
Nicaragua	-3	en:nicaragua
Niger	-3	en:niger
Nigeria	-3	en:nigeria
Niue	0	en:niue
Norvège	2	en:norway
Nouvelle-Calédonie	0	en:new-caledonia
Nouvelle-Zélande	1	en:new-zealand
Oman	-3	en:oman
Ouganda	-3	en:uganda
Ouzbékistan	-3	en:uzbekistan
Pakistan	-3	en:pakistan
Palau	0	en:palau
Panama	-3	en:panama
Papouasie-Nouvelle-Guinée	-3	en:papua-new-guinea
Paraguay	-3	en:paraguay
Pays-Bas	1	en:netherlands
Pérou	-3	en:peru
Philippines	-3	en:philippines
Pologne	-1	en:poland
Polynésie française	0	en:french-polynesia
Porto Rico	0	en:puerto-rico
Portugal	0	en:portugal
Qatar	-3	en:qatar
République centrafricaine	-3	en:central-african-republic
République dominicaine	-3	en:dominican-republic
République tchèque	1	en:czech-republic
Réunion	0	en:reunion
Roumanie	0	en:romania
Royaume-Uni	2	en:united-kingdom
Russie	-2	en:russia
Rwanda	-3	en:rwanda
Sahara occidental	0	en:western-sahara
Saint Vincent et les Grenadines	-3	en:saint-vincent-and-the-grenadines
Saint-Christophe-et-Nevis	0	en:saint-kitts-and-nevis
Saint-Marin	0	en:san-marino
Saint-Pierre-et-Miquelon	0	en:saint-pierre-and-miquelon
Sainte-Hélène	0	en:saint-helena
Sainte-Lucie	-3	en:saint-lucia
Samoa	-3	en:samoa
Samoa américaines	0	en:american-samoa
São Tomé e Príncipe	0	en:sao-tome-and-principe
Sénégal	-3	en:senegal
Serbie	-2	en:serbia
Seychelles	-1	en:seychelles
Sierra Leone	-3	en:sierra-leone
Singapour	-1	en:singapore
Slovaquie	0	en:slovakia
Slovénie	1	en:slovenia
Somalie	0	en:somalia
Soudan	-3	en:sudan
Sri Lanka	-3	en:sri-lanka
Suède	2	en:sweden
Suisse	2	en:switzerland
Suriname	-3	en:suriname
Svalbard et Jan Mayen	0	en:svalbard-and-jan-mayen
Swaziland	0	en:swaziland
Syrie	0	en:syria
Tadjikistan	-3	en:tajikistan
Taïwan	-1	en:taiwan
Tanzanie	-3	en:tanzania
Tchad	-3	en:chad
Territoire britannique de l'océan Indien	0	en:british-indian-ocean-territory
Territoires français du Sud	0	en:french-southern-and-antarctic-lands
Territoires palestiniens	0	en:palestinian-territories
Thaïlande	-3	en:thailand
Timor-Leste	-3	en:timor-leste
Togo	-3	en:togo
Tokelau	0	en:tokelau
Tonga	-3	en:tonga
Trinité-et-Tobago	-3	en:trinidad-and-tobago
Tunisie	-3	en:tunisia
Turkménistan	-3	en:turkmenistan
Turquie	-3	en:turkey
Tuvalu	0	en:tuvalu
Ukraine	-3	en:ukraine
Uruguay	-3	en:uruguay
Vanuatu	-3	en:vanuatu
Venezuela	-2	en:venezuela
Vietnam	0	en:vietnam
Wallis et Futuna	0	en:wallis-and-futuna
Yémen	0	en:yemen
Zambie	-3	en:zambia
Zimbabwe	-3	en:zimbabwe
Océan Arctique	0	en:arctic-sea
Atlantique Nord-Ouest	0	en:northwest-atlantic-ocean
Atlantique Nord-Est	0	en:north-east-atlantic-ocean
Atlantique Centre-Ouest	0	en:central-west-atlantic-ocean
Atlantique Centre-Est	0	en:central-east-atlantic-ocean
Méditéranée et mer Noire	0	en:mediterranean-and-black-sea
Atlantique Sud-Ouest	0	en:southwest-atlantic-ocean
Atlantique Sud-Est	0	en:southeast-atlantic-ocean
Atlantique Antarctique	0	en:antartic-atlantic-ocean
Océan Indien Ouest	0	en:western-indian-ocean
Océan Indien Est	0	en:eastern-indian-ocean
Océan Indien Antarctique	0	en:antartic-and-southern-indian-ocean
Pacifique Nord-Ouest	0	en:northwest-pacific-ocean
Pacifique Nord-Est	0	en:northeast-pacific-ocean
Pacifique Centre-Ouest	0	en:west-central-pacific-ocean
Pacifique Centre-Est	0	en:eastern-central-pacific-ocean
Pacifique Sud-Ouest	0	en:southwest-pacific-ocean
Pacifique Sud-Est	0	en:southeast-pacific-ocean
Pacifique Antarctique	0	en:antarctic-pacific-ocean
